Year,Player,Salary
2011,Brian Lee,"$825,000"
2011,Viktor Tikhonov,"$875,000"
2011,Mattias Tedenby,"$875,000"
2011,George Parros,"$875,000"
2011,Jacob Markström,"$875,000"
2011,Brendan Smith,"$875,000"
2011,Stu Bickel,"$875,000"
2011,Travis Hamonic,"$875,000"
2011,Josh Bailey,"$875,000"
2011,Zach Bogosian,"$875,000"
2011,Tyler Ennis,"$875,000"
2011,Max Pacioretty,"$875,000"
2011,P.K. Subban,"$875,000"
2011,Roman Josi,"$875,000"
2011,Colin Wilson,"$875,000"
2011,Luke Schenn,"$875,000"
2011,Michael Del Zotto,"$875,000"
2011,Philip McRae,"$875,000"
2011,Kevin Shattenkirk,"$875,000"
2011,Karl Alzner,"$875,000"
2011,Drew Doughty,"$875,000"
2011,Matt Frattin,"$875,000"
2011,Ryan McDonagh,"$875,000"
2011,Joe Colborne,"$875,000"
2011,Jordan Eberle,"$875,000"
2011,Steven Stamkos,"$875,000"
2011,Brandon Sutter,"$875,000"
2011,Keaton Ellerby,"$875,000"
2011,Tyler Myers,"$875,000"
2011,James van Riemsdyk,"$875,000"
2011,Tyler Bozak,"$875,000"
2011,Ian Cole,"$875,000"
2011,Mikkel Boedker,"$875,000"
2011,Patrick Wiercioch,"$875,000"
2011,Erik Karlsson,"$875,000"
2011,Luca Sbisa,"$875,000"
2011,B.J. Crombeen,"$885,000"
2011,John Moore,$0
2011,Jerry D'Amigo,$0
2011,Ryan Ellis,$0
2011,Carter Ashton,$0
2011,Simon Despres,$0
2011,Nazem Kadri,"$900,000"
2011,Jared Cowen,"$900,000"
2011,Alexandre Picard,"$868,219"
2011,Mark Mitera,"$850,000"
2011,Francois Bouchard,"$850,000"
2011,Joe Finley,"$850,000"
2011,Ryan Stoa,"$850,000"
2011,Blake Geoffrion,"$850,000"
2011,Doug Weight,"$850,000"
2011,Nathan Gerbe,"$850,000"
2011,Brian Elliott,"$900,000"
2011,T.J. Oshie,"$850,000"
2011,Chris Summers,"$850,000"
2011,Ben Bishop,"$850,000"
2011,Michael Frolík,"$850,000"
2011,Jeff Petry,"$850,000"
2011,Kyle Beach,"$875,000"
2011,Logan MacMillan,"$875,000"
2011,Tyler Cuma,"$875,000"
2011,Anton Gustafsson,"$875,000"
2011,Nikita Filatov,"$875,000"
2011,Zach Boychuk,"$875,000"
2011,Greg Nemisz,"$875,000"
2011,Lars Eller,"$875,000"
2011,Jakub Voracek,"$787,500"
2011,John Carlson,"$875,000"
2011,Mikael Backlund,"$875,000"
2011,Kyle Turris,"$787,500"
2011,Colby Cohen,"$787,500"
2011,Krys Barch,"$825,000"
2011,David Jones,"$850,000"
2011,Mike Rupp,"$850,000"
2011,Jannik Hansen,"$825,000"
2011,Colin Fraser,"$825,000"
2011,Riku Helenius,"$765,000"
2011,Ivan Vishnevskiy,"$765,000"
2011,Bobby Sanguinetti,"$765,000"
2011,Kyle Okposo,"$765,000"
2011,Semyon Varlamov,"$765,000"
2011,Steve Mason,"$765,000"
2011,Claude Giroux,"$765,000"
2011,Patrik Berglund,"$765,000"
