name,Team_y,Position_y,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh_perc,TOI_x,TOI_dec,CLAUSE,EXPIRY,CAPHIT,CAP HIT %,cap_hit_perc,SALARY,CF_perc,FF_perc,xGF_perc,PIM,Giveaways,Takeaways,Hits,Hits Taken,blocked_shots
Corey Perry,DAL,W,Right,57,5,16,21,0.37,-2,77,0.06,13:43,13.71666667,NMC,UFA,"$8,625,000",1.80%,0.018,"$8,000,000",54.8,54.55,61.34,70,26,17,60,46,33
Corey Perry,DAL,W,Right,57,5,16,21,0.37,-2,77,0.06,13:43,13.71666667,NTC,UFA,"$1,500,000",1.80%,0.018,"$1,500,000",54.8,54.55,61.34,70,26,17,60,46,33
Conor Sheary,"BUF, PIT",W,Left,62,10,13,23,0.37,-5,102,0.1,13:06,13.1,,UFA,"$3,000,000",4.00%,0.04,"$3,000,000",52.95,51.65,52.32,10,18,19,28,54,26
Conor Garland,ARI,W,Right,68,22,17,39,0.57,1,158,0.14,14:09,14.15,,RFA,"$775,000",1.00%,0.01,"$750,000",54.88,55.14,55.99,20,27,30,26,94,20
Connor Murphy,CHI,D,Right,58,5,14,19,0.33,2,117,0.04,21:15,21.25,,UFA,"$3,850,000",5.30%,0.053,"$4,400,000",44.65,44.83,43.34,27,44,17,128,156,138
Connor McDavid,EDM,C,Left,64,34,63,97,1.52,-6,212,0.16,21:51,21.85,,UFA,"$12,500,000",16.70%,0.167,"$15,000,000",55.42,55.24,57.69,28,75,53,37,57,18
Connor Carrick,N.J,D,Right,29,1,5,6,0.21,-6,25,0.04,14:24,14.4,,UFA,"$1,500,000",1.80%,0.018,"$1,500,000",39.69,39.41,40.27,17,12,5,27,52,39
Connor Brown,OTT,W,Right,70,16,27,43,0.61,-6,173,0.09,20:06,20.1,,RFA,"$2,100,000",2.80%,0.028,"$2,100,000",46.98,47.52,49.21,24,40,52,39,65,35
Colton Sissons,NSH,C,Right,58,9,6,15,0.26,-2,52,0.17,14:19,14.31666667,,UFA,"$2,857,143",3.50%,0.035,"$3,450,000",39.77,42.32,41.8,20,25,14,84,39,41
Colton Sceviour,FLA,C,Right,70,6,10,16,0.23,2,114,0.05,13:14,13.23333333,,UFA,"$1,200,000",1.60%,0.016,"$1,200,000",38.54,41.08,37.16,6,35,26,91,80,72
Colton Parayko,STL,D,Right,64,10,18,28,0.44,8,162,0.06,23:00,23,,UFA,"$5,500,000",7.30%,0.073,"$5,525,000",47.57,47.98,47.34,16,41,33,87,109,106
Colin Wilson,COL,C,Left,9,0,4,4,0.44,6,12,0,12:38,12.63333333,,UFA,"$2,600,000",3.20%,0.032,"$2,600,000",56.34,54.25,61.09,0,3,1,8,11,2
Colin White,OTT,C,Right,61,7,16,23,0.38,-12,83,0.08,15:42,15.7,,UFA,"$4,750,000",5.80%,0.058,"$4,000,000",53.59,52.62,55.03,39,29,23,47,100,30
Colin Miller,BUF,D,Right,50,1,10,11,0.22,-9,79,0.01,17:08,17.13333333,,UFA,"$3,875,000",4.90%,0.049,"$3,875,000",50.9,49.44,49.36,22,29,9,87,43,40
Cole Bardreau,NYI,C,Right,10,1,1,2,0.2,-2,10,0.1,8:52,8.866666667,,UFA,"$700,000",0.90%,0.009,"$700,000",37.33,40.18,41.88,6,4,4,21,7,1
Cody Goloubef,"DET, OTT",D,Right,25,1,1,2,0.08,-3,18,0.06,15:11,15.18333333,,UFA,"$800,000",1.00%,0.01,"$800,000",41.79,42.13,41.84,8,21,3,45,21,24
Cody Eakin,"VGK, WPG",C,Left,48,5,10,15,0.31,-3,61,0.08,14:34,14.56666667,,UFA,"$3,850,000",5.40%,0.054,"$3,850,000",45.1,45.16,40.81,16,21,23,49,60,16
Cody Ceci,TOR,D,Right,57,1,7,8,0.14,7,48,0.02,20:32,20.53333333,,UFA,"$4,500,000",5.50%,0.055,"$4,500,000",43.82,43.04,45.4,20,30,13,92,128,79
Claude Giroux,PHI,C,Right,69,21,32,53,0.77,7,197,0.11,18:59,18.98333333,NMC,UFA,"$8,275,000",12.90%,0.129,"$8,000,000",59.64,59.09,59.63,28,35,37,45,39,16
Clark Bishop,CAR,C,Left,5,0,1,1,0.2,-2,4,0,7:39,7.65,,RFA,"$700,000",0.90%,0.009,"$700,000",56.36,60.98,47.72,4,1,1,5,4,0
